;prod_nome;preco_original;preco_com_desconto;prod_busca
86;Peru Espumante Congelado Sadia 3,8kg;60.42;;sadia
87;Lasanha 4 Queijos SADIA 600g;16.99;;sadia
88;Patê de Presunto SADIA 100g;5.69;;sadia
89;Lasanha de Peito de Peru SADIA 600G;16.99;;sadia
90;Filé de Peito de Frango com Molho de Mostarda e Mel Sadia 120g;14.29;;sadia
91;Lasanha 4 Queijos SADIA 350g;9.85;;sadia
92;Ossobuco de Angus com Molho de Cerveja Preta e Cebola Sadia Speciale Caixa 700g;69.99;;sadia
93;Vegetais Grelhados Sadia 100g;12.79;;sadia
94;Lasanha de Frango ao Sugo SADIA 600g;16.99;;sadia
95;Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g;6.99;;sadia
96;Lasanha à Bolonhesa Familiar SADIA 1kg;25.48;;sadia
97;Linguiça de Frango Cozida e Defumada Sadia 480g;21.99;16.49;sadia
98;Hambúrguer de Frango Empanado Sadia Caixa 360g;21.99;;sadia
99;Mini Lasanha à Bolonhesa SADIA Caixa 350g;9.85;;sadia
100;Hot Pocket X Picanha SADIA 145g;6.99;;sadia
101;Sanduíche X Frango Hot Pocket SADIA 145g;6.99;;sadia
102;Wrap de Frango Sadia Mostarda e Mel 180g;12.79;;sadia
103;Hambúrguer de Frango com Pepperoni SADIA SPECIALE 300g;21.79;;sadia
104;Hambúrguer Bovino Tradicional SADIA SPECIALE 350g;24.79;;sadia
105;Burrito Frango com Requeijão Sadia Hot Pocket Pacote 112g;7.89;;sadia
106;Escalope de Mignon Suíno ao Molho la Creme com Cogumelos Sadia Speciale Caixa 700g;48.49;;sadia
107;Empanado de Frango Coxinha da Asa Congelado Sadia 400g;18.29;;sadia
108;Escondidinho de Purê de Carne SADIA Caixa 600g;28.49;;sadia
109;Empanado de Frango Coxinha da Asa Congelado Sadia 2kg;55.99;;sadia
110;Queijo Prato Fatiado SADIA Soltíssimo 200g;13.49;;sadia
111;Sanduíche Congelado X-Burguer Barbecue Sadia Hot Pocket Pacote 145g;6.99;;sadia
112;Sanduíche X Bacon Hot Pocket SADIA 145g;6.99;;sadia
113;Sanduíche X Burguer Hot Pocket SADIA 145g;-1.0;;sadia
114;Copa Fatiada SADIA Pacote 100g;19.99;14.99;sadia
115;Ervilha Congelada Sadia Veg & Tal Pacote 1kg;19.49;;sadia
116;Pizza de 4 Queijos SADIA 460g;19.99;;sadia
117;Lasanha de 4 Queijos Familiar SADIA 1kg;25.48;;sadia
118;Ave Supreme Fácil Sadia 3,4kg;67.93;;sadia
119;Peito de Peru Defumado Fatiado SADIA Soltíssimo Bandeja 200g;18.99;;sadia
120;Bacon Defumado em Fatias SADIA 250g;21.99;;sadia
121;Bacon Defumado em Cubos SADIA Pote 140g;-1.0;;sadia
122;Frango Temperado Congelado Supreme SADIA 3,1kg;61.69;;sadia
123;Moela de Frango Congelada SADIA Bandeja 1kg;20.99;;sadia
124;Escondidinho de Purê de Batata de Frango SADIA Caixa 600g;28.49;;sadia
125;Strogonoff de Frango com Arroz e Batata SADIA 350g;15.29;;sadia
